"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 29 20:45:50 GMT 2024","Wed May 29 20:45:52 GMT 2024","1327","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Cancel' BUTTON is hiding 'Rooms' block.","Check that clicking the“Cancel” button under the Calendar block, which contains Calendar itself, “First Name”, “Last Name”, “Email”, “Phone” fields, “Book” and “Cancel” buttons, is hiding this entire block including fields and buttons."
"broken","Wed May 29 20:46:00 GMT 2024","Wed May 29 20:46:00 GMT 2024","298","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block visibility after clicking 'Book this room' button.","Check that “row-contact” block under “Rooms” block, which contains “First Name”, “Last Name”, “Email”, “Phone”, “Message” fields and “Submit” button are still displayed at the Main page after “Book this Room” button was clicked."
"passed","Wed May 29 20:45:31 GMT 2024","Wed May 29 20:45:31 GMT 2024","509","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"passed","Wed May 29 20:46:05 GMT 2024","Wed May 29 20:46:05 GMT 2024","56","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block 'Submit' button.",""
"passed","Wed May 29 20:46:02 GMT 2024","Wed May 29 20:46:02 GMT 2024","849","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block 'Submit' button.",""
"broken","Wed May 29 20:45:54 GMT 2024","Wed May 29 20:45:55 GMT 2024","696","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Cancel' BUTTON is hiding 'Rooms' block.","Check that clicking the“Cancel” button under the Calendar block, which contains Calendar itself, “First Name”, “Last Name”, “Email”, “Phone” fields, “Book” and “Cancel” buttons, is hiding this entire block including fields and buttons."
"passed","Wed May 29 20:45:43 GMT 2024","Wed May 29 20:45:44 GMT 2024","559","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"broken","Wed May 29 20:45:49 GMT 2024","Wed May 29 20:45:49 GMT 2024","49","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"passed","Wed May 29 20:45:46 GMT 2024","Wed May 29 20:45:46 GMT 2024","890","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"broken","Wed May 29 20:45:21 GMT 2024","Wed May 29 20:45:21 GMT 2024","0","test","test_shady_meadow_selenium","","","","testcase",""
"passed","Wed May 29 20:45:56 GMT 2024","Wed May 29 20:45:57 GMT 2024","984","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block visibility after clicking 'Book this room' button.","Check that “row-contact” block under “Rooms” block, which contains “First Name”, “Last Name”, “Email”, “Phone”, “Message” fields and “Submit” button are still displayed at the Main page after “Book this Room” button was clicked."
