"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 27 19:04:17 GMT 2024","Mon May 27 19:04:32 GMT 2024","15091","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block visibility after clicking 'Book this room' button.","Check that “row-contact” block under “Rooms” block, which contains “First Name”, “Last Name”, “Email”, “Phone”, “Message” fields and “Submit” button are still displayed at the Main page after “Book this Room” button was clicked."
"broken","Mon May 27 19:05:33 GMT 2024","Mon May 27 19:05:49 GMT 2024","15176","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block 'Submit' button.",""
"broken","Mon May 27 19:06:51 GMT 2024","Mon May 27 19:07:06 GMT 2024","15101","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block 'Submit' button.",""
"broken","Mon May 27 19:03:00 GMT 2024","Mon May 27 19:03:15 GMT 2024","15175","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block visibility after clicking 'Book this room' button.","Check that “row-contact” block under “Rooms” block, which contains “First Name”, “Last Name”, “Email”, “Phone”, “Message” fields and “Submit” button are still displayed at the Main page after “Book this Room” button was clicked."
"broken","Mon May 27 18:56:37 GMT 2024","Mon May 27 18:56:52 GMT 2024","15091","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"broken","Mon May 27 18:57:53 GMT 2024","Mon May 27 18:58:08 GMT 2024","15174","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"broken","Mon May 27 18:55:19 GMT 2024","Mon May 27 18:55:34 GMT 2024","15315","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"broken","Mon May 27 19:01:44 GMT 2024","Mon May 27 19:01:59 GMT 2024","15087","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Cancel' BUTTON is hiding 'Rooms' block.","Check that clicking the“Cancel” button under the Calendar block, which contains Calendar itself, “First Name”, “Last Name”, “Email”, “Phone” fields, “Book” and “Cancel” buttons, is hiding this entire block including fields and buttons."
"broken","Mon May 27 19:00:26 GMT 2024","Mon May 27 19:00:42 GMT 2024","15175","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Cancel' BUTTON is hiding 'Rooms' block.","Check that clicking the“Cancel” button under the Calendar block, which contains Calendar itself, “First Name”, “Last Name”, “Email”, “Phone” fields, “Book” and “Cancel” buttons, is hiding this entire block including fields and buttons."
"broken","Mon May 27 18:59:10 GMT 2024","Mon May 27 18:59:25 GMT 2024","15088","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"broken","Mon May 27 18:54:18 GMT 2024","Mon May 27 18:54:18 GMT 2024","0","test","test_shady_meadow_selenium","","","","testcase",""
