"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 24 21:49:50 GMT 2024","Fri May 24 21:49:50 GMT 2024","0","test","test_shady_meadow_selenium","","","","testcase",""
"passed","Fri May 24 21:50:01 GMT 2024","Fri May 24 21:50:01 GMT 2024","436","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"passed","Fri May 24 21:50:03 GMT 2024","Fri May 24 21:50:04 GMT 2024","976","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"passed","Fri May 24 21:50:06 GMT 2024","Fri May 24 21:50:06 GMT 2024","40","","","","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"passed","Fri May 24 21:49:51 GMT 2024","Fri May 24 21:49:52 GMT 2024","396","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
