"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 29 20:41:30 GMT 2024","Wed May 29 20:41:31 GMT 2024","975","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block visibility after clicking 'Book this room' button.","Check that “row-contact” block under “Rooms” block, which contains “First Name”, “Last Name”, “Email”, “Phone”, “Message” fields and “Submit” button are still displayed at the Main page after “Book this Room” button was clicked."
"broken","Wed May 29 20:40:45 GMT 2024","Wed May 29 20:40:45 GMT 2024","0","test","test_shady_meadow_selenium","","","","testcase",""
"passed","Wed May 29 20:41:16 GMT 2024","Wed May 29 20:41:17 GMT 2024","598","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"passed","Wed May 29 20:40:58 GMT 2024","Wed May 29 20:40:58 GMT 2024","547","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"broken","Wed May 29 20:41:22 GMT 2024","Wed May 29 20:41:22 GMT 2024","52","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"broken","Wed May 29 20:41:33 GMT 2024","Wed May 29 20:41:34 GMT 2024","301","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block visibility after clicking 'Book this room' button.","Check that “row-contact” block under “Rooms” block, which contains “First Name”, “Last Name”, “Email”, “Phone”, “Message” fields and “Submit” button are still displayed at the Main page after “Book this Room” button was clicked."
"passed","Wed May 29 20:41:24 GMT 2024","Wed May 29 20:41:25 GMT 2024","1637","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Cancel' BUTTON is hiding 'Rooms' block.","Check that clicking the“Cancel” button under the Calendar block, which contains Calendar itself, “First Name”, “Last Name”, “Email”, “Phone” fields, “Book” and “Cancel” buttons, is hiding this entire block including fields and buttons."
"passed","Wed May 29 20:41:35 GMT 2024","Wed May 29 20:41:36 GMT 2024","839","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block 'Submit' button.",""
"passed","Wed May 29 20:41:18 GMT 2024","Wed May 29 20:41:19 GMT 2024","1028","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"broken","Wed May 29 20:41:28 GMT 2024","Wed May 29 20:41:28 GMT 2024","707","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Cancel' BUTTON is hiding 'Rooms' block.","Check that clicking the“Cancel” button under the Calendar block, which contains Calendar itself, “First Name”, “Last Name”, “Email”, “Phone” fields, “Book” and “Cancel” buttons, is hiding this entire block including fields and buttons."
"passed","Wed May 29 20:41:38 GMT 2024","Wed May 29 20:41:39 GMT 2024","52","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block 'Submit' button.",""
