"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 24 21:47:11 GMT 2024","Fri May 24 21:47:11 GMT 2024","483","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"passed","Fri May 24 21:47:13 GMT 2024","Fri May 24 21:47:14 GMT 2024","1043","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"passed","Fri May 24 21:46:56 GMT 2024","Fri May 24 21:46:56 GMT 2024","538","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"broken","Fri May 24 21:46:40 GMT 2024","Fri May 24 21:46:40 GMT 2024","0","test","test_shady_meadow_selenium","","","","testcase",""
"passed","Fri May 24 21:47:16 GMT 2024","Fri May 24 21:47:16 GMT 2024","35","","","","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
