"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 24 21:36:07 GMT 2024","Fri May 24 21:36:07 GMT 2024","0","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"failed","Fri May 24 21:36:07 GMT 2024","Fri May 24 21:36:07 GMT 2024","0","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Cancel' BUTTON is hiding 'Rooms' block.","Check that clicking the“Cancel” button under the Calendar block, which contains Calendar itself, “First Name”, “Last Name”, “Email”, “Phone” fields, “Book” and “Cancel” buttons, is hiding this entire block including fields and buttons."
"failed","Fri May 24 21:36:07 GMT 2024","Fri May 24 21:36:07 GMT 2024","0","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"failed","Fri May 24 21:36:07 GMT 2024","Fri May 24 21:36:07 GMT 2024","0","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"failed","Fri May 24 21:36:07 GMT 2024","Fri May 24 21:36:07 GMT 2024","0","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block 'Submit' button.",""
"failed","Fri May 24 21:36:07 GMT 2024","Fri May 24 21:36:07 GMT 2024","0","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block 'Submit' button.",""
"failed","Fri May 24 21:36:07 GMT 2024","Fri May 24 21:36:07 GMT 2024","0","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block visibility after clicking 'Book this room' button.","Check that “row-contact” block under “Rooms” block, which contains “First Name”, “Last Name”, “Email”, “Phone”, “Message” fields and “Submit” button are still displayed at the Main page after “Book this Room” button was clicked."
"failed","Fri May 24 21:36:07 GMT 2024","Fri May 24 21:36:07 GMT 2024","0","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Cancel' BUTTON is hiding 'Rooms' block.","Check that clicking the“Cancel” button under the Calendar block, which contains Calendar itself, “First Name”, “Last Name”, “Email”, “Phone” fields, “Book” and “Cancel” buttons, is hiding this entire block including fields and buttons."
"failed","Fri May 24 21:36:07 GMT 2024","Fri May 24 21:36:07 GMT 2024","0","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"failed","Fri May 24 21:36:07 GMT 2024","Fri May 24 21:36:07 GMT 2024","0","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block visibility after clicking 'Book this room' button.","Check that “row-contact” block under “Rooms” block, which contains “First Name”, “Last Name”, “Email”, “Phone”, “Message” fields and “Submit” button are still displayed at the Main page after “Book this Room” button was clicked."
"broken","Fri May 24 21:36:07 GMT 2024","Fri May 24 21:36:07 GMT 2024","0","test","test_shady_meadow_selenium","","","","testcase",""
