"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 26 16:37:29 GMT 2024","Sun May 26 16:37:29 GMT 2024","36","","","","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"passed","Sun May 26 16:37:11 GMT 2024","Sun May 26 16:37:11 GMT 2024","462","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"passed","Sun May 26 16:37:23 GMT 2024","Sun May 26 16:37:24 GMT 2024","439","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"passed","Sun May 26 16:37:25 GMT 2024","Sun May 26 16:37:26 GMT 2024","1009","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"broken","Sun May 26 16:37:01 GMT 2024","Sun May 26 16:37:01 GMT 2024","0","test","test_shady_meadow_selenium","","","","testcase",""
