"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 29 20:32:10 GMT 2024","Wed May 29 20:32:10 GMT 2024","388","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"passed","Wed May 29 20:32:47 GMT 2024","Wed May 29 20:32:48 GMT 2024","846","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block 'Submit' button.",""
"broken","Wed May 29 20:32:07 GMT 2024","Wed May 29 20:32:07 GMT 2024","0","test","test_shady_meadow_selenium","","","","testcase",""
"passed","Wed May 29 20:32:41 GMT 2024","Wed May 29 20:32:42 GMT 2024","963","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block visibility after clicking 'Book this room' button.","Check that “row-contact” block under “Rooms” block, which contains “First Name”, “Last Name”, “Email”, “Phone”, “Message” fields and “Submit” button are still displayed at the Main page after “Book this Room” button was clicked."
"passed","Wed May 29 20:32:28 GMT 2024","Wed May 29 20:32:29 GMT 2024","647","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"passed","Wed May 29 20:32:35 GMT 2024","Wed May 29 20:32:37 GMT 2024","1301","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Cancel' BUTTON is hiding 'Rooms' block.","Check that clicking the“Cancel” button under the Calendar block, which contains Calendar itself, “First Name”, “Last Name”, “Email”, “Phone” fields, “Book” and “Cancel” buttons, is hiding this entire block including fields and buttons."
"passed","Wed May 29 20:32:30 GMT 2024","Wed May 29 20:32:31 GMT 2024","873","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"broken","Wed May 29 20:32:34 GMT 2024","Wed May 29 20:32:34 GMT 2024","50","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"broken","Wed May 29 20:32:45 GMT 2024","Wed May 29 20:32:45 GMT 2024","291","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block visibility after clicking 'Book this room' button.","Check that “row-contact” block under “Rooms” block, which contains “First Name”, “Last Name”, “Email”, “Phone”, “Message” fields and “Submit” button are still displayed at the Main page after “Book this Room” button was clicked."
"broken","Wed May 29 20:32:39 GMT 2024","Wed May 29 20:32:40 GMT 2024","697","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Cancel' BUTTON is hiding 'Rooms' block.","Check that clicking the“Cancel” button under the Calendar block, which contains Calendar itself, “First Name”, “Last Name”, “Email”, “Phone” fields, “Book” and “Cancel” buttons, is hiding this entire block including fields and buttons."
"passed","Wed May 29 20:32:51 GMT 2024","Wed May 29 20:32:51 GMT 2024","51","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block 'Submit' button.",""
