"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 27 19:28:28 GMT 2024","Mon May 27 19:28:43 GMT 2024","15320","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"broken","Mon May 27 19:36:14 GMT 2024","Mon May 27 19:36:29 GMT 2024","15179","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block visibility after clicking 'Book this room' button.","Check that “row-contact” block under “Rooms” block, which contains “First Name”, “Last Name”, “Email”, “Phone”, “Message” fields and “Submit” button are still displayed at the Main page after “Book this Room” button was clicked."
"broken","Mon May 27 19:38:47 GMT 2024","Mon May 27 19:39:03 GMT 2024","15177","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block 'Submit' button.",""
"broken","Mon May 27 19:31:07 GMT 2024","Mon May 27 19:31:23 GMT 2024","15178","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"broken","Mon May 27 19:29:51 GMT 2024","Mon May 27 19:30:06 GMT 2024","15099","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"broken","Mon May 27 19:34:58 GMT 2024","Mon May 27 19:35:13 GMT 2024","15092","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Cancel' BUTTON is hiding 'Rooms' block.","Check that clicking the“Cancel” button under the Calendar block, which contains Calendar itself, “First Name”, “Last Name”, “Email”, “Phone” fields, “Book” and “Cancel” buttons, is hiding this entire block including fields and buttons."
"broken","Mon May 27 19:40:05 GMT 2024","Mon May 27 19:40:20 GMT 2024","15088","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block 'Submit' button.",""
"broken","Mon May 27 19:32:25 GMT 2024","Mon May 27 19:32:40 GMT 2024","15091","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"broken","Mon May 27 19:27:26 GMT 2024","Mon May 27 19:27:26 GMT 2024","0","test","test_shady_meadow_selenium","","","","testcase",""
"broken","Mon May 27 19:37:31 GMT 2024","Mon May 27 19:37:46 GMT 2024","15091","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block visibility after clicking 'Book this room' button.","Check that “row-contact” block under “Rooms” block, which contains “First Name”, “Last Name”, “Email”, “Phone”, “Message” fields and “Submit” button are still displayed at the Main page after “Book this Room” button was clicked."
"broken","Mon May 27 19:33:41 GMT 2024","Mon May 27 19:33:56 GMT 2024","15177","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Cancel' BUTTON is hiding 'Rooms' block.","Check that clicking the“Cancel” button under the Calendar block, which contains Calendar itself, “First Name”, “Last Name”, “Email”, “Phone” fields, “Book” and “Cancel” buttons, is hiding this entire block including fields and buttons."
