"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 24 21:53:53 GMT 2024","Fri May 24 21:53:53 GMT 2024","364","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"broken","Fri May 24 21:53:52 GMT 2024","Fri May 24 21:53:52 GMT 2024","0","test","test_shady_meadow_selenium","","","","testcase",""
"passed","Fri May 24 21:54:02 GMT 2024","Fri May 24 21:54:02 GMT 2024","37","","","","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"passed","Fri May 24 21:53:56 GMT 2024","Fri May 24 21:53:57 GMT 2024","408","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"passed","Fri May 24 21:53:58 GMT 2024","Fri May 24 21:53:59 GMT 2024","977","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
