"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 24 22:18:06 GMT 2024","Fri May 24 22:18:06 GMT 2024","383","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"passed","Fri May 24 22:17:58 GMT 2024","Fri May 24 22:17:58 GMT 2024","362","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"passed","Fri May 24 22:18:11 GMT 2024","Fri May 24 22:18:11 GMT 2024","36","","","","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"passed","Fri May 24 22:18:08 GMT 2024","Fri May 24 22:18:09 GMT 2024","476","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"broken","Fri May 24 22:17:56 GMT 2024","Fri May 24 22:17:56 GMT 2024","0","test","test_shady_meadow_selenium","","","","testcase",""
