"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 26 16:29:00 GMT 2024","Sun May 26 16:29:00 GMT 2024","37","","","","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"passed","Sun May 26 16:28:57 GMT 2024","Sun May 26 16:28:58 GMT 2024","993","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"passed","Sun May 26 16:28:40 GMT 2024","Sun May 26 16:28:41 GMT 2024","472","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"passed","Sun May 26 16:28:54 GMT 2024","Sun May 26 16:28:54 GMT 2024","512","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"broken","Sun May 26 16:28:32 GMT 2024","Sun May 26 16:28:32 GMT 2024","0","test","test_shady_meadow_selenium","","","","testcase",""
