"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 25 11:50:37 GMT 2024","Sat May 25 11:50:37 GMT 2024","445","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"broken","Sat May 25 11:50:34 GMT 2024","Sat May 25 11:50:34 GMT 2024","0","test","test_shady_meadow_selenium","","","","testcase",""
"passed","Sat May 25 11:50:53 GMT 2024","Sat May 25 11:50:53 GMT 2024","37","","","","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"passed","Sat May 25 11:50:50 GMT 2024","Sat May 25 11:50:51 GMT 2024","976","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"passed","Sat May 25 11:50:48 GMT 2024","Sat May 25 11:50:49 GMT 2024","440","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
