"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 29 20:49:14 GMT 2024","Wed May 29 20:49:14 GMT 2024","49","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"passed","Wed May 29 20:48:48 GMT 2024","Wed May 29 20:48:48 GMT 2024","366","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"broken","Wed May 29 20:48:46 GMT 2024","Wed May 29 20:48:46 GMT 2024","0","test","test_shady_meadow_selenium","","","","testcase",""
"passed","Wed May 29 20:49:11 GMT 2024","Wed May 29 20:49:11 GMT 2024","375","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"passed","Wed May 29 20:49:08 GMT 2024","Wed May 29 20:49:09 GMT 2024","572","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"passed","Wed May 29 20:49:30 GMT 2024","Wed May 29 20:49:30 GMT 2024","65","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block 'Submit' button.",""
"broken","Wed May 29 20:49:19 GMT 2024","Wed May 29 20:49:20 GMT 2024","705","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Cancel' BUTTON is hiding 'Rooms' block.","Check that clicking the“Cancel” button under the Calendar block, which contains Calendar itself, “First Name”, “Last Name”, “Email”, “Phone” fields, “Book” and “Cancel” buttons, is hiding this entire block including fields and buttons."
"passed","Wed May 29 20:49:15 GMT 2024","Wed May 29 20:49:17 GMT 2024","1312","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Cancel' BUTTON is hiding 'Rooms' block.","Check that clicking the“Cancel” button under the Calendar block, which contains Calendar itself, “First Name”, “Last Name”, “Email”, “Phone” fields, “Book” and “Cancel” buttons, is hiding this entire block including fields and buttons."
"broken","Wed May 29 20:49:25 GMT 2024","Wed May 29 20:49:26 GMT 2024","298","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block visibility after clicking 'Book this room' button.","Check that “row-contact” block under “Rooms” block, which contains “First Name”, “Last Name”, “Email”, “Phone”, “Message” fields and “Submit” button are still displayed at the Main page after “Book this Room” button was clicked."
"passed","Wed May 29 20:49:27 GMT 2024","Wed May 29 20:49:28 GMT 2024","843","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block 'Submit' button.",""
"passed","Wed May 29 20:49:22 GMT 2024","Wed May 29 20:49:23 GMT 2024","970","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Contact' block visibility after clicking 'Book this room' button.","Check that “row-contact” block under “Rooms” block, which contains “First Name”, “Last Name”, “Email”, “Phone”, “Message” fields and “Submit” button are still displayed at the Main page after “Book this Room” button was clicked."
