"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 25 13:21:34 GMT 2024","Sat May 25 13:21:34 GMT 2024","497","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"broken","Sat May 25 13:21:06 GMT 2024","Sat May 25 13:21:06 GMT 2024","0","test","test_shady_meadow_selenium","","","","testcase",""
"passed","Sat May 25 13:21:39 GMT 2024","Sat May 25 13:21:39 GMT 2024","38","","","","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
"passed","Sat May 25 13:21:08 GMT 2024","Sat May 25 13:21:08 GMT 2024","400","test","Shady Meadows B&B UI","TestShadyMeadows","","","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0."
"passed","Sat May 25 13:21:36 GMT 2024","Sat May 25 13:21:37 GMT 2024","509","test","Shady Meadows B&B UI","TestShadyMeadows","","","'Book this room' button.","Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore."
